Error GD :
(1,0.08000878543701127)
(2,0.07831705251719377)
(3,0.07729854760005804)
(4,0.07620189422399001)
(5,0.07262998770510648)
(6,0.0701560961658152)
(7,0.06676105097076065)
(8,0.06396876294386115)
(9,0.06190296866100492)
(10,0.06040185571963038)
(11,0.05809019079186756)
(12,0.057187576128232734)
(13,0.05641122421898951)
(14,0.05570408398111665)
(15,0.05301773367350245)
(16,0.05232386827781217)
(17,0.052040521455917775)
(18,0.05067060455527402)
(19,0.0500492741261113)
(20,0.049239385392279886)
(21,0.04879154868728436)
(22,0.04852434607593097)
(23,0.04828020064247103)
(24,0.048048548198710864)
(25,0.04787410111022837)
(26,0.04750271653251539)
(27,0.0472845963941297)
(28,0.04712006453539518)
(29,0.04697636383294821)
(30,0.04683802543360245)
(31,0.04671694549011301)
(32,0.046591646997830666)
(33,0.046481722978759174)
(34,0.04640849976195899)
(35,0.04630391876583615)
(36,0.046230825156012845)
(37,0.04608898152379344)
(38,0.04583602912833511)
(39,0.045618668339274866)
(40,0.045540297192677874)
(41,0.0454770622405394)
(42,0.045427060986303405)
(43,0.04540392960271926)
(44,0.04536821234027152)
(45,0.04529853194702357)
(46,0.045244081634342265)
(47,0.045172883596122274)
(48,0.045143915613277665)
(49,0.04510396195117254)
(50,0.04502859883135239)
(51,0.045008419492019426)
(52,0.044913302779480364)
(53,0.04485808301241802)
(54,0.044818131813607005)
(55,0.044790038363451454)
(56,0.04476628245378654)
(57,0.04474552630189856)
(58,0.04471258579267461)
(59,0.044689913131638406)
(60,0.04467888216583531)
(61,0.044659975775196606)
(62,0.0445949004809416)
(63,0.04453603455334099)
(64,0.04450744948372755)
(65,0.04449006144167102)
(66,0.04447174974791623)
(67,0.044463591478517)
(68,0.04438937669946596)
(69,0.0443629097587077)
(70,0.044353974369439594)
(71,0.04431552048413613)
(72,0.044300036936216675)
(73,0.044291849533984386)
(74,0.044284587251142565)
(75,0.044285664977062426)
(76,0.044426699836552494)
(77,0.044368369940890065)
(78,0.044302810069041076)
(79,0.04428286740953523)
(80,0.04426485693422673)
(81,0.04426066869977691)
(82,0.04425629562290524)
(83,0.04424771468601773)
(84,0.04424074262455067)
(85,0.04423853428490684)
(86,0.04423503454944523)
(87,0.04423221730183147)
(88,0.0442307552583302)
(89,0.044228100338877384)
(90,0.04421348025767731)
(91,0.04420313640715219)
(92,0.04419779132679863)
(93,0.04418848374620031)
(94,0.04418335836194751)
(95,0.0441742757683677)
(96,0.0441615387930848)
(97,0.044152002903179874)
(98,0.044148493786895796)
(99,0.04414707626575261)
(100,0.0441427356008647)
(101,0.044133750408210735)
(102,0.044129355059028666)
(103,0.044127244370192185)
(104,0.04412651437359875)
(105,0.04412399198187393)
(106,0.04411858576973112)
(107,0.044114523470372896)
(108,0.044112963989509896)
(109,0.04411148531576997)
(110,0.044110582132936164)
(111,0.04410957945519474)
(112,0.04410924718710315)
(113,0.04410608456255466)
(114,0.0441043550877798)
(115,0.044104308294112986)
(116,0.044103749936788714)
(117,0.04410081887082572)
(118,0.04410014981964472)
(119,0.04409944050930317)
(120,0.04409912982526285)
(121,0.044098525262322975)
(122,0.04409763446722426)
(123,0.04409605021039485)
(124,0.04409502303812722)
(125,0.04409418528359982)
(126,0.04409352996505316)
(127,0.044092871677845605)
(128,0.0440918803219134)
(129,0.04409132133862809)
(130,0.044089952231093896)
(131,0.04408647924937368)
(132,0.04408355182591331)
(133,0.04408168498835293)
(134,0.04407947631494523)
(135,0.04407771668628226)
(136,0.04407450207169606)
(137,0.04407112127497183)
(138,0.04406905868881934)
(139,0.04406880885934138)
(140,0.04406815381537695)
(141,0.04406251224504092)
(142,0.04404666293106872)
(143,0.044034659856433664)
(144,0.04403115356461503)
(145,0.04402408048674301)
(146,0.04401702198451475)
(147,0.04401118896223934)
(148,0.0440084859427005)
(149,0.043976688410893146)
(150,0.043957147689031556)
