Error GD :
(1,0.08036307656466722)
(2,0.08034997802448877)
(3,0.07841925668288888)
(4,0.07835566564939721)
(5,0.07700602256821407)
(6,0.07195853594511625)
(7,0.06856609637261417)
(8,0.06579300264981883)
(9,0.0633627803009427)
(10,0.0610874977672264)
(11,0.05953349910787242)
(12,0.05806639970919254)
(13,0.05684058266763174)
(14,0.05648999377677244)
(15,0.05579916281657045)
(16,0.05252613149368919)
(17,0.0510577651361704)
(18,0.050589655458365454)
(19,0.049866428471823675)
(20,0.049849440674058346)
(21,0.049613378339231504)
(22,0.048983018841202965)
(23,0.04878786633554436)
(24,0.04781982810188593)
(25,0.04769886449635932)
(26,0.04767357016059369)
(27,0.04699764038339943)
(28,0.046706956342390055)
(29,0.04612056402007188)
(30,0.04591091450316035)
(31,0.04574850486210505)
(32,0.04560868047904653)
(33,0.04554507542615596)
(34,0.045499469239238345)
(35,0.045399237539035506)
(36,0.0453108749856457)
(37,0.045252540231623145)
(38,0.04520728273990077)
(39,0.04516933718096543)
(40,0.04508125870940556)
(41,0.04493487029576177)
(42,0.04491503907342457)
(43,0.04485185733987419)
(44,0.04483186048334427)
(45,0.04479833568160553)
(46,0.04476843140219962)
(47,0.04474690859215775)
(48,0.04472164651396839)
(49,0.04463250030375481)
(50,0.044580570531632266)
(51,0.044536578721036384)
(52,0.044481332804669635)
(53,0.04444893574992003)
(54,0.044436213682326114)
(55,0.0443649574607519)
(56,0.04434653991527619)
(57,0.044315602074061926)
(58,0.044278285644478096)
(59,0.044272650508971875)
(60,0.04425591376969683)
(61,0.04424691711766461)
(62,0.04422498562290002)
(63,0.04421822962409984)
(64,0.04420872885033389)
(65,0.04419903490526329)
(66,0.044191096119685476)
(67,0.04417772746073877)
(68,0.04416556338720558)
(69,0.044153960947407596)
(70,0.04413878700205128)
(71,0.044130296786666426)
(72,0.04412387083379592)
(73,0.04409736847408293)
(74,0.044067330723917886)
(75,0.04405720820134617)
(76,0.04405222157812985)
(77,0.04404227971541516)
(78,0.04403322619374557)
(79,0.04402473924612361)
(80,0.044018908837770224)
(81,0.04398259318840923)
(82,0.04396512496432493)
(83,0.043955667514456016)
(84,0.043946166440461246)
(85,0.04394005463917204)
(86,0.043931694454616504)
(87,0.043906732685913545)
(88,0.04389192249342475)
(89,0.04388977359640979)
(90,0.043882749349402894)
(91,0.04386984933590012)
(92,0.04386289835212275)
(93,0.04385911019503375)
(94,0.04385674945469969)
(95,0.04385217877718858)
(96,0.0438475001902777)
(97,0.043837534432563094)
(98,0.04382373076672315)
(99,0.04382136823443736)
(100,0.043815626817444386)
(101,0.043807022590774465)
(102,0.04380061060585481)
(103,0.04379358588579612)
(104,0.04378979941579514)
(105,0.04378149250029961)
(106,0.04377457204844571)
(107,0.04376798595376524)
(108,0.04375715127336987)
(109,0.04375270803441689)
(110,0.04374857795106703)
(111,0.043745072008736376)
(112,0.04374136297625124)
(113,0.043729298172171284)
(114,0.04371843993614265)
(115,0.04370574838943156)
(116,0.04370228341501726)
(117,0.0436996263383762)
(118,0.04369665789764006)
(119,0.04369480690700983)
(120,0.04369260756635001)
(121,0.043690634752501165)
(122,0.04368922925381271)
(123,0.043686589111361654)
(124,0.04368505326626405)
(125,0.04368390410783833)
(126,0.04367300731594295)
(127,0.043667204610107445)
(128,0.04366401276784686)
(129,0.043660268765360194)
(130,0.04365683368928761)
(131,0.043653713879834265)
(132,0.04365001693867224)
(133,0.04363945506624942)
(134,0.043628654260824636)
(135,0.04362694963161557)
(136,0.04362014737088467)
(137,0.04361584997869251)
(138,0.043610830735545635)
(139,0.04359205385908454)
(140,0.043556386681552026)
(141,0.043522887334347136)
(142,0.04348846523420763)
(143,0.04348505501531582)
(144,0.043479937478284665)
(145,0.04347718924725231)
(146,0.043450330272622587)
(147,0.04343856239249426)
(148,0.0434219638598263)
(149,0.04341645747311233)
(150,0.04341135719859042)
